name,type,value,date
Harriet,Kasi Lemmons,29,2019
I Am the Night,Patty Jenkins,18,2019
When They See Us,Ava DuVernay,18,2019
Portrait of a Lady on Fire,C├⌐line Sciamma,8,2019
Tales of the City,Patricia Cardoso,26,2019
All Rise,Patricia Cardoso,23,2019
In the Dark,Patricia Cardoso,23,2019
The Society,Patricia Cardoso,21,2019
Emergence,Patricia Cardoso,21,2019
First Cow,Kelly Reichardt,2,2019
Beecham House,Gurinder Chadha,11,2019
Blinded by the Light,Gurinder Chadha,20,2019
Frozen II,Jennifer Lee,28,2019
Miss Bala,Catherine Hardwick,11,2019
The Lost Boys,Catherine Hardwick,3,2019
I'll Find You, Martha Coolidge,20,2019
Ramy,Desiree Akhavan,19,2019
Briarpatch,Desiree Akhavan,18,2019
"Jordan River Anderson, the Messenger",Alanis Obomsawin,2,2019
Mrs. Fletcher,Nicole Holofcener,19,2019
The Souvenir,Joanna Hogg,18,2019
Nomadland,Chloe Zhao,3,2020
On the Rocks,Sofia Coppola,23,2020
Royalties,Amy Heckerling,4,2020
Rodman,Penny Marshall,0,2020
The Old Guard,Gina Prince-Bythewood,14,2020
Lovecraft Country,Cheryl Dunye,11,2020
Self Made: Inspired by the Life of Madam C.J. Walker,Kasi Lemmons,28,2020
Hey Lady!,Sarah Polley,6,2020
Wonder Woman 1984,Patty Jenkins,69,2020
DMZ,Ava DuVernay,13,2020
Party of Five,Patricia Cardoso,32,2020
Mulan,Niki Caro,13,2020
The Outsider,Karyn Kusama,20,2020
The Last Thing He Wanted,Dee Rees,41,2020
Space Force,Dee Rees,20,2020
Dick Johnson Is Dead,Kirsten Johnson,1,2020
The Roads Not Taken,Sally Potter,13,2020
The Undoing,Susanne Bier,23,2020
The Souvenir: Part II,Joanna Hogg,7,2021
The Matrix 4,Lana Wachowski,8,2022
