name,type,value,date
Freud Leaving Home,Susanne Bier,9,1991
Face of a Stranger,Claudia Weill,13,1991
"Ciao, Professore!",Lina Wertmu╠êller,9,1992
L'encyclopédie audio-visuelle,Lina Wertmu╠êller,4,1992
A League of Their Own,Penny Marshall,56,1992
The Inheritance or Fuckoffguysgoodday,Vera Chytilova,11,1992
The Last Days of Chez Nous,Gillian Armstrong,13,1992
Sexual Advances,Donna Deitch,5,1992
Vanilla Sex,Cheryl Dunye,1,1992
Confessions of a Suburban Girl,Susan Seidelman,2,1992
Wayne's World,Penelope Spheeris,11,1992
"Queen: Bohemian Rhapsody, Wayne's World Version",Penelope Spheeris,0,1992
Another Country,Niki Caro,19,1992
Orlando,Sally Potter,12,1992
A Private Matter,Joan Micklin Silver,15,1992
Crazy in Love, Martha Coolidge,12,1992
Letter to Jonas,Susanne Bier,3,1992
Gas Food Lodging,Allison Anders,21,1992
Walker,Alanis Obomsawin,2,1992
A Child Lost Forever: The Jerry Sherwood Story,Claudia Weill,17,1992
Monologues,Chantal Akerman,3,1993
Tous les garçons et les filles de leur âge...,Chantal Akerman,19,1993
From the East,Chantal Akerman,0,1993
Walt Mink: Shine,Sofia Coppola,0,1993
Wild Palms,Kathryn Bigelow,13,1993
Homicide: Life on the Street (1998-1999),Kathryn Bigelow,17,1993
The Young Girls Turn 25,Agnes Varda,4,1993
Fallen Champ: The Untold Story of Mike Tyson,Barbara Kopple,4,1993
Homicide: Life on the Street (1997-1999),Barbara Kopple,17,1993
Gen: Galerie elity národa (2001-2002),Vera Chytilova,4,1993
The Piano,Jane Campion,29,1993
Family Remains,Tamara Jenkins,3,1993
Homicide: Life on the Street,Lisa Cholodenko,17,1993
NYPD Blue (1995-2003),Donna Deitch,16,1993
Rules of the Road,Su Friendrich,1,1993
Hotheads,Jennie Livingston,1,1993
The Dutch Master,Susan Seidelman,7,1993
Danger Theatre,Penelope Spheeris,15,1993
The Beverly Hillbillies,Penelope Spheeris,30,1993
Bhaji on the Beach,Gurinder Chadha,17,1993
Lost in Yonkers, Martha Coolidge,6,1993
Family Matters,Susanne Bier,13,1993
Mi vida loca,Allison Anders,33,1993
Verhalen van de straat,Marleen Gorris,19,1993
Kanehsatake: 270 Years of Resistance,Alanis Obomsawin,1,1993
Vicious Circle,Joanna Hogg,1,1993
Renaissance Man,Penny Marshall,14,1994
A Century of Women,Barbara Kopple,35,1994
Souvenir,Lisa Cholodenko,3,1994
Little Women,Gillian Armstrong,32,1994
ER,Donna Deitch,26,1994
Robin's Hoods,Donna Deitch,20,1994
Criminal Passion,Donna Deitch,12,1994
A Change of Place,Donna Deitch,8,1994
The Little Rascals,Penelope Spheeris,16,1994
River of Grass,Kelly Reichardt,12,1994
The Last Good Breath,Kimberly Peirce,0,1994
Angie, Martha Coolidge,35,1994
Chicago Hope,Claudia Weill,26,1994
Birdland,Claudia Weill,14,1994
My So-Called Life,Claudia Weill,31,1994
Strange Days,Kathryn Bigelow,22,1995
Clueless,Amy Heckerling,14,1995
One Hundred and One Nights,Agnes Varda,27,1995
The World of Jacques Demy,Agnes Varda,16,1995
Shooting Gallery,Tamara Jenkins,5,1995
Murder One (1995-1997),Donna Deitch,22,1995
"Aimé Césaire, une voix pour l'histoire",Euzhan Palcy,0,1995
The Wonderful World of Disney,Euzhan Palcy,11,1995
The Barefoot Executive,Susan Seidelman,14,1995
A Tale of Love,Trinh T. Minh-ha,3,1995
"À propos de Nice, la suite",Catherine Breillat,3,1995
Magazine for Fai,Lucrecia Martel,7,1995
Dead King,Lucrecia Martel,1,1995
Rich Deceiver,Gurinder Chadha,18,1995
Boys Don't Cry,Kimberly Peirce,4,1995
Three Wishes, Martha Coolidge,14,1995
Like It Never Was Before,Susanne Bier,7,1995
Four Rooms,Allison Anders,18,1995
Antonia's Line,Marleen Gorris,28,1995
Caroline in the City,Claudia Weill,18,1995
Women: Stories of Passion,Julie Dash,27,1996
Tracy Chapman: Give Me One Reason,Julie Dash,1,1996
A Couch in New York,Chantal Akerman,6,1996
"Bed, Bath and Beyond",Sofia Coppola,5,1996
The Flaming Lips: This Here Giraffe,Sofia Coppola,0,1996
Small Deaths,Lynne Ramsay,6,1996
The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics,Lina Wertmu╠êller,9,1996
The Nymph,Lina Wertmu╠êller,8,1996
The Mirror Has Two Faces,Barbra Streisand,27,1996
Bound,Lilly Wachowski,5,1996
Bound,Lana Wachowski,5,1996
The Preacher's Wife,Penny Marshall,45,1996
The Portrait of a Lady,Jane Campion,11,1996
Not Fourteen Again,Gillian Armstrong,0,1996
Moloney,Donna Deitch,20,1996
Second Noah,Donna Deitch,20,1996
EZ Streets,Donna Deitch,13,1996
Hide and Seek,Su Friendrich,14,1996
Greetings from Africa,Cheryl Dunye,3,1996
The Watermelon Woman,Cheryl Dunye,144,1996
Dr. Hugo,Kasi Lemmons,5,1996
